GEOID,state,delta
1001.0,Alabama,-48.99691667000361
1003.0,Alabama,-57.160111326996805
1005.0,Alabama,-5.5688222370809015
1007.0,Alabama,-55.153645538042866
1009.0,Alabama,-80.90901985305612
1011.0,Alabama,50.74309978768577
1013.0,Alabama,-13.456252863032518
1015.0,Alabama,-40.99740932642487
1017.0,Alabama,-14.812949640287776
1019.0,Alabama,-69.00214292369328
1021.0,Alabama,-66.25292612553758
1023.0,Alabama,-13.672517827756451
1025.0,Alabama,-10.674545315018037
1027.0,Alabama,-60.50724637681159
1029.0,Alabama,-77.0514181707872
1031.0,Alabama,-56.11787932777965
1033.0,Alabama,-37.86474011639575
1035.0,Alabama,-5.163249810174641
1037.0,Alabama,-30.445544554455445
1039.0,Alabama,-68.25595984943538
1041.0,Alabama,-45.46034785383756
1043.0,Alabama,-77.07601721543051
1045.0,Alabama,-50.109339164755454
1047.0,Alabama,37.5
1049.0,Alabama,-68.85696584836985
1051.0,Alabama,-51.50563607085347
1053.0,Alabama,-35.904344897271805
1055.0,Alabama,-49.61280681097727
1057.0,Alabama,-64.8563462237847
1059.0,Alabama,-60.37375415282392
1061.0,Alabama,-72.02755570675285
1063.0,Alabama,65.06147540983606
1065.0,Alabama,19.925373134328353
1067.0,Alabama,-41.37760158572844
1069.0,Alabama,-47.05551255892492
1071.0,Alabama,-61.94719786504004
1073.0,Alabama,7.26681591500077
1075.0,Alabama,-68.71949468848695
1077.0,Alabama,-45.4067046173308
1079.0,Alabama,-48.59397127250658
1081.0,Alabama,-22.616614012265373
1083.0,Alabama,-48.63999602918548
1085.0,Alabama,46.858168761220824
1087.0,Alabama,67.12253829321664
1089.0,Alabama,-16.340145297419042
1091.0,Alabama,3.474622521375295
1093.0,Alabama,-75.80098582871227
1095.0,Alabama,-68.85264469362329
1097.0,Alabama,-13.274515593069232
1099.0,Alabama,-14.243987927173599
1101.0,Alabama,25.984063080164375
1103.0,Alabama,-51.79685648842903
1105.0,Alabama,45.793861311102695
1107.0,Alabama,-15.552295116327805
1109.0,Alabama,-20.02582017010935
1111.0,Alabama,-53.14616668302739
1113.0,Alabama,1.9162858329871213
1115.0,Alabama,-67.86979166666666
1117.0,Alabama,-49.42323266241334
1119.0,Alabama,49.36827328029949
1121.0,Alabama,-25.422815577573566
1123.0,Alabama,-41.4400082110233
1125.0,Alabama,-19.299879081015717
1127.0,Alabama,-67.07722584147665
1129.0,Alabama,-42.98605414273995
1131.0,Alabama,42.53023864007845
1133.0,Alabama,-81.02395035392225
2001.0,Alaska,-9.144320578487488
2002.0,Alaska,-29.187909686817196
2003.0,Alaska,-54.66964402994877
2004.0,Alaska,0.9662850540909531
2005.0,Alaska,-6.273716164938023
2006.0,Alaska,-28.286052009456263
2007.0,Alaska,-53.3518205931999
2008.0,Alaska,-60.79524340393906
2009.0,Alaska,-47.54299754299755
2010.0,Alaska,-49.192477876106196
2011.0,Alaska,-44.40086696253482
2012.0,Alaska,-49.261238604212515
2013.0,Alaska,-35.8793816011021
2014.0,Alaska,-28.16698656429942
2015.0,Alaska,-13.99036531513449
2016.0,Alaska,1.2237762237762198
2017.0,Alaska,9.899823217442538
2018.0,Alaska,16.549581194271823
2019.0,Alaska,21.5567612687813
2020.0,Alaska,27.50700280112045
2021.0,Alaska,8.615704868740607
2022.0,Alaska,-11.144290492116575
2023.0,Alaska,-5.083766608896589
2024.0,Alaska,-12.455947136563886
2025.0,Alaska,-5.389442598744921
2026.0,Alaska,-13.183604716451434
2027.0,Alaska,-4.053284754639641
2028.0,Alaska,-5.8983110177649465
2029.0,Alaska,-45.19906323185011
2030.0,Alaska,-48.91620111731844
2031.0,Alaska,-21.12551561579258
2032.0,Alaska,-14.226445396145614
2033.0,Alaska,32.675659351721364
2034.0,Alaska,2.8098823030431532
2035.0,Alaska,-3.9371820393718195
2036.0,Alaska,-21.381897386253634
2037.0,Alaska,9.541683129197942
2038.0,Alaska,31.697742885181558
2039.0,Alaska,30.80333392445469
2040.0,Alaska,20.84598698481562
2099.0,Alaska,4.628164556962025
4001.0,Arizona,31.969198510538302
4003.0,Arizona,-21.2776167149855
4005.0,Arizona,18.894687541817213
4007.0,Arizona,-19.562907049622588
4009.0,Arizona,-23.264059883778195
4011.0,Arizona,-15.408320493066256
4012.0,Arizona,-40.79986556881197
4013.0,Arizona,-2.8353767044215203
4015.0,Arizona,-51.07013747294948
4017.0,Arizona,-10.219883853675483
4019.0,Arizona,13.573901906839957
4021.0,Arizona,-19.241813718679083
4023.0,Arizona,47.42286861802471
4025.0,Arizona,-31.227610310179124
4027.0,Arizona,-1.0564044519901898
5001.0,Arkansas,-30.37669027688345
5003.0,Arkansas,-36.24891748113323
5005.0,Arkansas,-53.187291308307195
5007.0,Arkansas,-33.94406345534164
5009.0,Arkansas,-57.780398485506794
5011.0,Arkansas,-23.186422118806462
5013.0,Arkansas,-40.41427941824591
5015.0,Arkansas,-32.01338538761852
5017.0,Arkansas,15.18199233716475
5019.0,Arkansas,-9.195402298850574
5021.0,Arkansas,-49.65384615384616
5023.0,Arkansas,-60.877120397186594
5025.0,Arkansas,-51.848539057841386
5027.0,Arkansas,-26.06053786429615
5029.0,Arkansas,-27.664942601236284
5031.0,Arkansas,-34.72858628735277
5033.0,Arkansas,-54.334075723830736
5035.0,Arkansas,9.064694082246739
5037.0,Arkansas,-37.60546988652896
5039.0,Arkansas,-12.414290869722123
5041.0,Arkansas,7.2586328400281985
5043.0,Arkansas,-24.30629264594389
5045.0,Arkansas,-30.965556420560947
5047.0,Arkansas,-54.10635155096011
5049.0,Arkansas,-50.37720033528919
5051.0,Arkansas,-33.760568557774775
5053.0,Arkansas,-58.4553391537945
5055.0,Arkansas,-52.39041095890411
5057.0,Arkansas,-28.713292665626334
5059.0,Arkansas,-42.05458807769591
5061.0,Arkansas,-38.639281129653405
5063.0,Arkansas,-51.821654179521076
5065.0,Arkansas,-53.762848751835534
5067.0,Arkansas,-32.66097750193949
5069.0,Arkansas,25.187302077701403
5071.0,Arkansas,-40.21071115013169
5073.0,Arkansas,-25.384615384615387
5075.0,Arkansas,-49.27000879507476
5077.0,Arkansas,16.721744877726373
5079.0,Arkansas,-31.442760062728702
5081.0,Arkansas,-42.242203941075196
5083.0,Arkansas,-50.890039136472666
5085.0,Arkansas,-52.745387453874535
5087.0,Arkansas,-48.823271451542176
5089.0,Arkansas,-54.90361615308851
5091.0,Arkansas,-43.633086818718546
5093.0,Arkansas,-10.534686458648906
5095.0,Arkansas,-6.1373092926491
5097.0,Arkansas,-53.24529362180387
5099.0,Arkansas,-25.97042513863216
5101.0,Arkansas,-57.98028244071409
5103.0,Arkansas,-10.367388022143942
5105.0,Arkansas,-45.4946586158848
5107.0,Arkansas,26.808571839493744
5109.0,Arkansas,-61.91911580005025
5111.0,Arkansas,-46.904946904946904
5113.0,Arkansas,-65.6785323775969
5115.0,Arkansas,-49.87372059019008
5117.0,Arkansas,-49.09988385598142
5119.0,Arkansas,17.72293711195674
5121.0,Arkansas,-48.3461357579558
5123.0,Arkansas,11.251682368775235
5125.0,Arkansas,-43.3915547024952
5127.0,Arkansas,-60.65527065527064
5129.0,Arkansas,-63.14377682403433
5131.0,Arkansas,-37.69742590227838
5133.0,Arkansas,-48.3779044278825
5135.0,Arkansas,-54.28334942750725
5137.0,Arkansas,-51.79779280882876
5139.0,Arkansas,-27.234521131762747
5141.0,Arkansas,-52.2278239542172
5143.0,Arkansas,-9.907037539243355
5145.0,Arkansas,-58.440795032881454
5147.0,Arkansas,-8.907040062232596
5149.0,Arkansas,-48.57897189004504
6001.0,California,64.02900349399174
6003.0,California,19.435215946843854
6005.0,California,-25.267847073418302
6007.0,California,-3.7430413126281863
6009.0,California,-24.062067773167357
6011.0,California,-13.419782870928827
6013.0,California,43.616882072183195
6015.0,California,-17.252563297761036
6017.0,California,-13.722473314741798
6019.0,California,6.1249862743917305
6021.0,California,-28.75395987328406
6023.0,California,25.026162103770712
6025.0,California,41.510885612692604
6027.0,California,-13.517190205293105
6029.0,California,-12.653432338233067
6031.0,California,-13.197700132684652
6033.0,California,3.6618223383409543
6035.0,California,-50.8361839604713
6037.0,California,49.343885289263504
6039.0,California,-14.678047875301544
6041.0,California,62.42128768677346
6043.0,California,-23.239833277008003
6045.0,California,29.860981401926516
6047.0,California,12.137478986848244
6049.0,California,-48.02006335797255
6051.0,California,12.547384382107651
6053.0,California,40.622001679059736
6055.0,California,35.501531643094566
6057.0,California,4.893055429143537
6059.0,California,8.585486183540837
6061.0,California,-11.829533086485931
6063.0,California,-20.266639107069032
6065.0,California,5.383615188363976
6067.0,California,24.356640981173896
6069.0,California,21.34646962233169
6071.0,California,10.641408109996753
6073.0,California,19.72672994488672
